00002.png
query kp idx/ query kp pos / train kp idx / train kp pos / dispartity / query des / train des
 [15, (397.0, 412.0), 18, (399.0, 407.0), -2.0, [109, 100, 215, 119, 197, 252, 101, 17, 225, 138, 103, 24, 120, 211, 72, 127, 112, 230, 106, 10, 97, 245, 178, 192, 23, 250, 68, 0, 67, 248, 194, 160], [237, 96, 211, 119, 197, 252, 101, 17, 241, 203, 103, 24, 121, 243, 72, 127, 112, 230, 106, 26, 97, 244, 178, 128, 23, 251, 84, 0, 67, 248, 226, 160]]
[18, (557.0, 237.0), 51, (559.0, 233.0), -2.0, [114, 17, 115, 200, 71, 70, 89, 72, 13, 32, 247, 42, 14, 23, 37, 244, 254, 157, 223, 224, 8, 147, 113, 204, 147, 184, 138, 159, 55, 171, 100, 55], [114, 17, 115, 200, 71, 70, 91, 72, 13, 32, 247, 42, 14, 23, 37, 116, 254, 157, 223, 224, 8, 147, 113, 204, 147, 248, 130, 151, 55, 171, 116, 55]]
[29, (362.0, 468.0), 37, (364.0, 463.0), -2.0, [201, 65, 14, 94, 81, 190, 99, 116, 244, 204, 103, 76, 83, 65, 179, 125, 112, 172, 76, 110, 169, 179, 60, 12, 113, 171, 32, 0, 75, 51, 106, 112], [217, 81, 46, 30, 81, 190, 99, 116, 244, 204, 103, 76, 115, 65, 179, 117, 56, 164, 72, 110, 169, 179, 60, 12, 119, 171, 32, 0, 75, 51, 106, 112]]
[51, (460.0, 258.0), 88, (462.0, 254.0), -2.0, [150, 155, 238, 251, 164, 2, 95, 185, 23, 127, 87, 245, 195, 44, 186, 96, 215, 87, 61, 71, 254, 220, 111, 179, 202, 255, 255, 199, 52, 228, 180, 127], [150, 155, 238, 251, 164, 2, 95, 185, 87, 127, 87, 245, 195, 44, 190, 64, 215, 87, 61, 71, 254, 156, 109, 183, 234, 255, 255, 199, 148, 228, 180, 127]]
[71, (542.0, 297.0), 97, (544.0, 293.0), -2.0, [11, 251, 83, 225, 122, 217, 186, 245, 173, 64, 242, 226, 189, 222, 228, 240, 110, 185, 254, 208, 199, 25, 229, 213, 62, 216, 174, 226, 39, 142, 169, 13], [11, 251, 83, 225, 122, 217, 186, 117, 173, 64, 242, 226, 189, 223, 228, 240, 110, 185, 254, 208, 215, 153, 229, 229, 62, 216, 174, 226, 39, 142, 173, 197]]
[78, (447.0, 439.0), 68, (449.0, 434.0), -2.0, [38, 3, 171, 163, 148, 100, 169, 13, 22, 141, 91, 3, 208, 236, 122, 72, 89, 10, 51, 149, 18, 184, 163, 130, 77, 36, 190, 192, 133, 74, 180, 224], [38, 3, 171, 131, 148, 100, 171, 15, 22, 141, 91, 3, 208, 236, 120, 72, 89, 74, 35, 149, 146, 184, 231, 194, 77, 36, 190, 192, 133, 74, 180, 224]]
[101, (401.0, 459.0), 67, (403.0, 454.0), -2.0, [131, 117, 111, 95, 124, 213, 255, 117, 237, 200, 92, 215, 57, 220, 180, 101, 238, 59, 23, 199, 229, 188, 54, 255, 55, 120, 142, 138, 93, 150, 244, 253], [147, 117, 111, 95, 124, 213, 253, 117, 237, 76, 94, 151, 57, 220, 182, 101, 230, 59, 23, 199, 231, 188, 54, 255, 55, 120, 142, 138, 93, 22, 244, 255]]
[114, (312.0, 482.4000244140625), 124, (313.20001220703125, 477.6000061035156), -1.20001220703125, [132, 110, 253, 113, 170, 107, 89, 134, 254, 190, 18, 184, 215, 110, 209, 59, 135, 119, 125, 179, 165, 84, 239, 34, 204, 195, 117, 244, 228, 241, 7, 121], [196, 108, 253, 113, 170, 107, 89, 134, 250, 190, 18, 184, 215, 108, 209, 59, 135, 119, 125, 17, 165, 84, 239, 34, 204, 195, 117, 244, 228, 241, 7, 113]]
[123, (549.6000366210938, 274.8000183105469), 153, (552.0, 271.20001220703125), -2.39996337890625, [220, 90, 94, 229, 3, 30, 90, 112, 45, 160, 243, 131, 95, 15, 1, 81, 126, 213, 253, 226, 108, 151, 81, 204, 215, 227, 234, 1, 32, 35, 46, 18], [220, 90, 94, 229, 3, 30, 90, 112, 45, 132, 247, 131, 95, 15, 1, 81, 126, 213, 253, 226, 108, 151, 81, 206, 215, 235, 234, 1, 32, 179, 46, 18]]
[177, (346.8000183105469, 450.0000305175781), 118, (348.0, 445.20001220703125), -1.199981689453125, [166, 38, 231, 220, 223, 48, 239, 203, 153, 215, 241, 186, 8, 238, 255, 175, 239, 218, 147, 182, 178, 103, 174, 192, 59, 56, 207, 238, 135, 125, 246, 228], [166, 38, 231, 220, 206, 48, 175, 203, 153, 151, 241, 178, 8, 238, 255, 175, 239, 219, 147, 182, 246, 71, 174, 192, 59, 24, 207, 238, 197, 125, 246, 228]]
